Video Shots: 96

frame_number: 41930 | start: 825.3 | end: 838.7 | type: medium | goal: False | goal_mouth: True | audio: False 
frame_number: 42455 | start: 838.8 | end: 849.2 | type: medium | goal: False | goal_mouth: False | audio: False 
frame_number: 42480 | start: 849.3 | end: 849.7 | type: medium | goal: False | goal_mouth: False | audio: False 
frame_number: 42500 | start: 849.8 | end: 850.1 | type: medium | goal: True | goal_mouth: False | audio: False 
frame_number: 42520 | start: 850.2 | end: 850.5 | type: medium | goal: True | goal_mouth: False | audio: False 
frame_number: 42540 | start: 850.6 | end: 850.9 | type: medium | goal: False | goal_mouth: False | audio: False 
frame_number: 42560 | start: 851.0 | end: 851.3 | type: close-out | goal: False | goal_mouth: False | audio: False 
frame_number: 42580 | start: 851.4 | end: 851.7 | type: close-out | goal: False | goal_mouth: False | audio: False 
frame_number: 42650 | start: 851.8 | end: 853.1 | type: wide | goal: False | goal_mouth: False | audio: False 

no. of shots come from audio: 0 

[]

Important Events: 43

[frame_number: 710 | start: 00:00:00 | end: 00:00:14 | type: wide | goal: False | goal_mouth: False | audio: False 
, frame_number: 1055 | start: 00:00:14 | end: 00:00:21 | type: medium | goal: False | goal_mouth: False | audio: False 
, frame_number: 1155 | start: 00:00:21 | end: 00:00:23 | type: close-out | goal: False | goal_mouth: False | audio: False 
, frame_number: 1195 | start: 00:00:23 | end: 00:00:23 | type: logo | goal: False | goal_mouth: False | audio: False 
, frame_number: 1685 | start: 00:00:24 | end: 00:00:33 | type: medium | goal: False | goal_mouth: True | audio: False 
, frame_number: 1715 | start: 00:00:33 | end: 00:00:34 | type: logo | goal: False | goal_mouth: False | audio: False 
, frame_number: 13180 | start: 00:04:12 | end: 00:04:23 | type: wide | goal: False | goal_mouth: False | audio: False 
, frame_number: 13220 | start: 00:04:23 | end: 00:04:24 | type: logo | goal: False | goal_mouth: False | audio: False 
, frame_number: 13730 | start: 00:04:24 | end: 00:04:34 | type: wide | goal: False | goal_mouth: False | audio: False 
, frame_number: 13760 | start: 00:04:34 | end: 00:04:35 | type: logo | goal: False | goal_mouth: False | audio: False 
, frame_number: 15070 | start: 00:04:59 | end: 00:05:01 | type: medium | goal: False | goal_mouth: False | audio: False 
, frame_number: 15105 | start: 00:05:01 | end: 00:05:02 | type: close | goal: False | goal_mouth: False | audio: False 
, frame_number: 15135 | start: 00:05:02 | end: 00:05:02 | type: close | goal: False | goal_mouth: False | audio: False 
, frame_number: 15160 | start: 00:05:02 | end: 00:05:03 | type: logo | goal: False | goal_mouth: False | audio: False 
, frame_number: 16215 | start: 00:05:24 | end: 00:05:24 | type: logo | goal: False | goal_mouth: False | audio: False 
, frame_number: 24985 | start: 00:04:35 | end: 00:04:59 | type: wide | goal: False | goal_mouth: True | audio: True 
, frame_number: 26210 | start: 00:05:04 | end: 00:05:24 | type: wide | goal: False | goal_mouth: True | audio: False 
, frame_number: 26405 | start: 00:08:06 | end: 00:08:48 | type: wide | goal: False | goal_mouth: False | audio: True 
, frame_number: 27110 | start: 00:08:53 | end: 00:09:02 | type: wide | goal: False | goal_mouth: False | audio: False 
, frame_number: 27535 | start: 00:09:02 | end: 00:09:10 | type: medium | goal: False | goal_mouth: False | audio: False 
, frame_number: 27570 | start: 00:09:10 | end: 00:09:11 | type: logo | goal: False | goal_mouth: False | audio: False 
, frame_number: 29960 | start: 00:09:17 | end: 00:09:59 | type: wide | goal: False | goal_mouth: False | audio: True 
, frame_number: 30055 | start: 00:09:59 | end: 00:10:01 | type: close-out | goal: False | goal_mouth: False | audio: False 
