Video Shots: 102

frame_number: 27180 | start: 00:09:19 | end: 00:09:20 | type: logo | goal: False | goal_mouth: False | audio: False 
frame_number: 27315 | start: 00:09:20 | end: 00:09:23 | type: close | goal: False | goal_mouth: False | audio: False 
frame_number: 27510 | start: 00:09:23 | end: 00:09:27 | type: medium | goal: False | goal_mouth: True | audio: False 
frame_number: 29595 | start: 00:09:27 | end: 00:10:08 | type: close | goal: False | goal_mouth: False | audio: True 
frame_number: 30115 | start: 00:10:08 | end: 00:10:19 | type: medium | goal: False | goal_mouth: False | audio: False 
frame_number: 30955 | start: 00:10:19 | end: 00:10:35 | type: close-out | goal: False | goal_mouth: False | audio: False 
frame_number: 31180 | start: 00:10:36 | end: 00:10:40 | type: close-out | goal: False | goal_mouth: False | audio: False 
frame_number: 33115 | start: 00:10:40 | end: 00:11:19 | type: medium | goal: False | goal_mouth: False | audio: False 
frame_number: 33730 | start: 00:11:19 | end: 00:11:31 | type: medium | goal: True | goal_mouth: False | audio: False 
frame_number: 34030 | start: 00:11:31 | end: 00:11:37 | type: close | goal: True | goal_mouth: False | audio: True 
frame_number: 34730 | start: 00:11:37 | end: 00:11:59 | type: wide | goal: False | goal_mouth: False | audio: False 
frame_number: 34750 | start: 00:11:59 | end: 00:12:00 | type: logo | goal: False | goal_mouth: False | audio: False 
frame_number: 34795 | start: 720.8 | end: 721.1 | type: close | goal: False | goal_mouth: False | audio: False 
frame_number: 34840 | start: 721.2 | end: 722.0 | type: close | goal: False | goal_mouth: False | audio: False 
frame_number: 35965 | start: 722.1 | end: 744.8 | type: wide | goal: False | goal_mouth: True | audio: False 
frame_number: 36125 | start: 744.9 | end: 748.0 | type: close-out | goal: False | goal_mouth: False | audio: False 
frame_number: 36485 | start: 748.1 | end: 755.2 | type: close | goal: False | goal_mouth: False | audio: False 
frame_number: 36955 | start: 755.3 | end: 764.6 | type: wide | goal: False | goal_mouth: False | audio: False 
frame_number: 37095 | start: 00:12:44 | end: 00:12:47 | type: wide | goal: False | goal_mouth: True | audio: False 
frame_number: 37120 | start: 00:12:47 | end: 00:12:48 | type: close | goal: False | goal_mouth: False | audio: False 
frame_number: 37330 | start: 00:12:48 | end: 00:12:52 | type: close | goal: False | goal_mouth: False | audio: False 
frame_number: 37370 | start: 00:12:52 | end: 00:12:53 | type: logo | goal: False | goal_mouth: False | audio: False 
frame_number: 37845 | start: 00:12:53 | end: 00:13:02 | type: wide | goal: False | goal_mouth: True | audio: True 
frame_number: 37885 | start: 00:13:02 | end: 00:13:03 | type: logo | goal: False | goal_mouth: False | audio: False 
frame_number: 39010 | start: 783.4 | end: 805.8 | type: wide | goal: False | goal_mouth: False | audio: False 
frame_number: 39115 | start: 805.9 | end: 807.9 | type: medium | goal: False | goal_mouth: False | audio: False 
frame_number: 39620 | start: 808.0 | end: 818.0 | type: close-out | goal: False | goal_mouth: False | audio: False 
frame_number: 40120 | start: 818.1 | end: 828.0 | type: wide | goal: False | goal_mouth: False | audio: False 
frame_number: 40810 | start: 828.1 | end: 841.8 | type: medium | goal: False | goal_mouth: True | audio: False 
frame_number: 41135 | start: 841.9 | end: 848.3 | type: medium | goal: False | goal_mouth: True | audio: False 
frame_number: 41315 | start: 848.4 | end: 851.9 | type: medium | goal: False | goal_mouth: True | audio: False 
frame_number: 41495 | start: 852.0 | end: 855.5 | type: medium | goal: False | goal_mouth: True | audio: False 
frame_number: 41675 | start: 855.6 | end: 859.1 | type: medium | goal: False | goal_mouth: True | audio: False 
frame_number: 41700 | start: 859.2 | end: 859.6 | type: medium | goal: False | goal_mouth: True | audio: False 
frame_number: 42330 | start: 859.7 | end: 872.2 | type: close-out | goal: False | goal_mouth: False | audio: False 
frame_number: 42630 | start: 872.3 | end: 878.2 | type: wide | goal: False | goal_mouth: False | audio: False 
frame_number: 42660 | start: 878.3 | end: 878.8 | type: wide | goal: False | goal_mouth: False | audio: False 
frame_number: 42680 | start: 878.9 | end: 879.2 | type: wide | goal: True | goal_mouth: False | audio: False 
frame_number: 42700 | start: 879.3 | end: 879.6 | type: medium | goal: False | goal_mouth: True | audio: False 
frame_number: 42720 | start: 879.7 | end: 880.0 | type: medium | goal: False | goal_mouth: True | audio: False 
frame_number: 42740 | start: 880.1 | end: 880.4 | type: close-out | goal: False | goal_mouth: False | audio: False 
frame_number: 42760 | start: 880.5 | end: 880.8 | type: close-out | goal: False | goal_mouth: False | audio: False 
frame_number: 42815 | start: 880.9 | end: 881.9 | type: wide | goal: False | goal_mouth: False | audio: False 

