Video Shots: 83

frame_number: 29805 | start: 00:09:46 | end: 00:09:56 | type: medium | goal: False | goal_mouth: False | audio: False 
frame_number: 29850 | start: 00:09:56 | end: 00:09:57 | type: logo | goal: False | goal_mouth: False | audio: False 
frame_number: 30590 | start: 597.2 | end: 611.9 | type: close | goal: False | goal_mouth: False | audio: False 
frame_number: 30770 | start: 612.0 | end: 615.5 | type: wide | goal: False | goal_mouth: False | audio: False 
frame_number: 31090 | start: 615.6 | end: 621.9 | type: wide | goal: False | goal_mouth: True | audio: False 
frame_number: 31590 | start: 622.0 | end: 631.9 | type: close-out | goal: False | goal_mouth: False | audio: False 
frame_number: 31700 | start: 632.0 | end: 634.1 | type: wide | goal: False | goal_mouth: False | audio: False 
frame_number: 32160 | start: 00:10:34 | end: 00:10:43 | type: close-out | goal: False | goal_mouth: False | audio: True 
frame_number: 32230 | start: 643.4 | end: 644.7 | type: medium | goal: False | goal_mouth: False | audio: False 
frame_number: 32310 | start: 644.8 | end: 646.3 | type: close | goal: True | goal_mouth: False | audio: False 
frame_number: 33890 | start: 00:10:46 | end: 00:11:17 | type: wide | goal: False | goal_mouth: True | audio: False 
frame_number: 34355 | start: 00:11:18 | end: 00:11:27 | type: medium | goal: False | goal_mouth: False | audio: False 
frame_number: 34395 | start: 00:11:27 | end: 00:11:28 | type: logo | goal: False | goal_mouth: False | audio: False 
frame_number: 34795 | start: 00:11:28 | end: 00:11:36 | type: wide | goal: False | goal_mouth: True | audio: False 
frame_number: 34830 | start: 00:11:36 | end: 00:11:36 | type: logo | goal: False | goal_mouth: False | audio: False 
frame_number: 34955 | start: 696.8 | end: 699.2 | type: medium | goal: False | goal_mouth: False | audio: False 
frame_number: 35265 | start: 699.3 | end: 705.4 | type: wide | goal: True | goal_mouth: False | audio: False 
frame_number: 35285 | start: 705.5 | end: 705.8 | type: wide | goal: True | goal_mouth: False | audio: False 
frame_number: 35305 | start: 705.9 | end: 706.2 | type: medium | goal: False | goal_mouth: True | audio: False 
frame_number: 35325 | start: 706.3 | end: 706.6 | type: medium | goal: False | goal_mouth: True | audio: False 
frame_number: 35345 | start: 706.7 | end: 707.0 | type: close-out | goal: False | goal_mouth: False | audio: False 
frame_number: 35365 | start: 707.1 | end: 707.4 | type: close-out | goal: False | goal_mouth: False | audio: False 
frame_number: 35420 | start: 707.5 | end: 708.5 | type: wide | goal: False | goal_mouth: True | audio: False 

no. of shots come from audio: 1 

[frame_number: 32160 | start: 00:10:34 | end: 00:10:43 | type: close-out | goal: False | goal_mouth: False | audio: True 
]

Important Events: 34

[frame_number: 3655 | start: 00:01:06 | end: 00:01:13 | type: wide | goal: False | goal_mouth: True | audio: True 
, frame_number: 3755 | start: 00:01:13 | end: 00:01:15 | type: close | goal: False | goal_mouth: False | audio: False 
, frame_number: 3795 | start: 00:01:15 | end: 00:01:15 | type: logo | goal: False | goal_mouth: False | audio: False 
, frame_number: 4100 | start: 00:01:16 | end: 00:01:22 | type: wide | goal: False | goal_mouth: False | audio: False 
, frame_number: 4485 | start: 00:01:22 | end: 00:01:29 | type: medium | goal: False | goal_mouth: False | audio: False 
, frame_number: 4525 | start: 00:01:29 | end: 00:01:30 | type: logo | goal: False | goal_mouth: False | audio: False 
, frame_number: 5025 | start: 00:01:30 | end: 00:01:40 | type: wide | goal: False | goal_mouth: False | audio: True 
, frame_number: 5185 | start: 00:01:40 | end: 00:01:43 | type: logo | goal: False | goal_mouth: False | audio: False 
, frame_number: 5520 | start: 00:01:44 | end: 00:01:50 | type: wide | goal: False | goal_mouth: True | audio: False 
, frame_number: 6035 | start: 00:01:50 | end: 00:02:00 | type: medium | goal: False | goal_mouth: True | audio: True 
, frame_number: 6075 | start: 00:02:00 | end: 00:02:01 | type: logo | goal: False | goal_mouth: False | audio: False 
, frame_number: 18540 | start: 00:04:49 | end: 00:06:10 | type: wide | goal: False | goal_mouth: True | audio: False 
, frame_number: 18750 | start: 00:06:11 | end: 00:06:15 | type: medium | goal: False | goal_mouth: False | audio: False 
, frame_number: 18915 | start: 00:06:15 | end: 00:06:18 | type: close | goal: False | goal_mouth: False | audio: False 
, frame_number: 18955 | start: 00:06:18 | end: 00:06:19 | type: logo | goal: False | goal_mouth: False | audio: False 
, frame_number: 19010 | start: 00:06:19 | end: 00:06:20 | type: medium | goal: False | goal_mouth: False | audio: False 
, frame_number: 19215 | start: 00:06:20 | end: 00:06:24 | type: medium | goal: False | goal_mouth: False | audio: False 
, frame_number: 19260 | start: 00:06:24 | end: 00:06:25 | type: logo | goal: False | goal_mouth: False | audio: False 
, frame_number: 27435 | start: 00:08:54 | end: 00:09:08 | type: wide | goal: False | goal_mouth: False | audio: True 
, frame_number: 27530 | start: 00:09:08 | end: 00:09:10 | type: medium | goal: False | goal_mouth: False | audio: False 
, frame_number: 27855 | start: 00:09:10 | end: 00:09:17 | type: close | goal: True | goal_mouth: False | audio: False 
, frame_number: 28020 | start: 00:09:17 | end: 00:09:20 | type: close | goal: False | goal_mouth: False | audio: False 
, frame_number: 28190 | start: 00:09:20 | end: 00:09:23 | type: close | goal: False | goal_mouth: False | audio: True 
, frame_number: 28225 | start: 00:09:24 | end: 00:09:24 | type: logo | goal: False | goal_mouth: False | audio: False 
, frame_number: 28905 | start: 00:09:24 | end: 00:09:38 | type: wide | goal: False | goal_mouth: True | audio: False 
, frame_number: 29320 | start: 00:09:38 | end: 00:09:46 | type: wide | goal: False | goal_mouth: True | audio: True 
, frame_number: 29805 | start: 00:09:46 | end: 00:09:56 | type: medium | goal: False | goal_mouth: False | audio: False 
, frame_number: 29850 | start: 00:09:56 | end: 00:09:57 | type: logo | goal: False | goal_mouth: False | audio: False 
, frame_number: 32160 | start: 00:10:34 | end: 00:10:43 | type: close-out | goal: False | goal_mouth: False | audio: True 
