Video Shots: 59

, frame_number: 7980 | start: 00:02:38 | end: 00:02:39 | type: medium | goal: False | goal_mouth: False | audio: True 
, frame_number: 9285 | start: 00:02:39 | end: 00:03:05 | type: wide | goal: False | goal_mouth: False | audio: True 
, frame_number: 13635 | start: 00:04:17 | end: 00:04:32 | type: wide | goal: False | goal_mouth: False | audio: True 
, frame_number: 22380 | start: 00:05:46 | end: 00:07:27 | type: wide | goal: False | goal_mouth: False | audio: True 
, frame_number: 27620 | start: 00:09:00 | end: 00:09:12 | type: close-out | goal: False | goal_mouth: False | audio: True 
]

Important Events: 29

[frame_number: 7625 | start: 00:01:33 | end: 00:02:32 | type: wide | goal: False | goal_mouth: True | audio: True 
, frame_number: 7980 | start: 00:02:38 | end: 00:02:39 | type: medium | goal: False | goal_mouth: False | audio: True 
, frame_number: 9285 | start: 00:02:39 | end: 00:03:05 | type: wide | goal: False | goal_mouth: False | audio: True 
, frame_number: 10705 | start: 00:03:14 | end: 00:03:34 | type: wide | goal: False | goal_mouth: True | audio: False 
, frame_number: 10855 | start: 00:03:34 | end: 00:03:37 | type: close | goal: False | goal_mouth: False | audio: False 
, frame_number: 10880 | start: 00:03:37 | end: 00:03:37 | type: medium | goal: False | goal_mouth: False | audio: False 
, frame_number: 10920 | start: 00:03:37 | end: 00:03:38 | type: logo | goal: False | goal_mouth: False | audio: False 
, frame_number: 11440 | start: 00:03:38 | end: 00:03:48 | type: wide | goal: False | goal_mouth: True | audio: True 
, frame_number: 11480 | start: 00:03:49 | end: 00:03:49 | type: logo | goal: False | goal_mouth: False | audio: False 
, frame_number: 13635 | start: 00:04:17 | end: 00:04:32 | type: wide | goal: False | goal_mouth: False | audio: True 
, frame_number: 14705 | start: 00:04:35 | end: 00:04:54 | type: wide | goal: False | goal_mouth: False | audio: False 
, frame_number: 14795 | start: 00:04:54 | end: 00:04:56 | type: close | goal: False | goal_mouth: False | audio: False 
, frame_number: 15060 | start: 00:04:56 | end: 00:05:01 | type: close | goal: False | goal_mouth: False | audio: False 
, frame_number: 15100 | start: 00:05:01 | end: 00:05:02 | type: logo | goal: False | goal_mouth: False | audio: False 
, frame_number: 15450 | start: 00:05:02 | end: 00:05:09 | type: medium | goal: False | goal_mouth: False | audio: False 
, frame_number: 15490 | start: 00:05:09 | end: 00:05:10 | type: logo | goal: False | goal_mouth: False | audio: False 
, frame_number: 16270 | start: 00:05:10 | end: 00:05:25 | type: wide | goal: True | goal_mouth: True | audio: False 
, frame_number: 16515 | start: 00:05:25 | end: 00:05:30 | type: close | goal: True | goal_mouth: False | audio: False 
, frame_number: 16555 | start: 00:05:30 | end: 00:05:31 | type: logo | goal: True | goal_mouth: False | audio: False 
, frame_number: 17040 | start: 00:05:41 | end: 00:05:41 | type: logo | goal: False | goal_mouth: False | audio: False 
, frame_number: 22380 | start: 00:05:46 | end: 00:07:27 | type: wide | goal: False | goal_mouth: False | audio: True 
, frame_number: 27035 | start: 00:05:38 | end: 00:05:40 | type: medium | goal: False | goal_mouth: False | audio: False 
, frame_number: 27620 | start: 00:09:00 | end: 00:09:12 | type: close-out | goal: False | goal_mouth: False | audio: True 
, frame_number: 29150 | start: 00:09:24 | end: 00:09:43 | type: wide | goal: False | goal_mouth: False | audio: False 
, frame_number: 29245 | start: 00:09:43 | end: 00:09:45 | type: close | goal: False | goal_mouth: False | audio: False 
, frame_number: 29325 | start: 00:09:45 | end: 00:09:46 | type: medium | goal: False | goal_mouth: False | audio: False 
, frame_number: 29365 | start: 00:09:46 | end: 00:09:47 | type: logo | goal: False | goal_mouth: False | audio: False 
, frame_number: 29860 | start: 00:09:47 | end: 00:09:57 | type: wide | goal: False | goal_mouth: False | audio: False 
, frame_number: 29900 | start: 00:09:57 | end: 00:09:58 | type: logo | goal: False | goal_mouth: False | audio: False 
]

GOALS: 1 | ATTACKS: 2 | OTHER: 7 

running time: 214.0077350139618
