Video Shots: 85

frame_number: 24845 | start: 493.8 | end: 497.0 | type: wide | goal: False | goal_mouth: False | audio: False 
frame_number: 24950 | start: 497.1 | end: 499.1 | type: close | goal: False | goal_mouth: False | audio: False 
frame_number: 25185 | start: 499.2 | end: 503.8 | type: close-out | goal: False | goal_mouth: False | audio: False 
frame_number: 25730 | start: 503.9 | end: 514.7 | type: wide | goal: False | goal_mouth: True | audio: False 
frame_number: 26015 | start: 514.8 | end: 520.4 | type: close | goal: False | goal_mouth: False | audio: False 
frame_number: 27450 | start: 00:08:40 | end: 00:09:09 | type: wide | goal: False | goal_mouth: True | audio: True 
frame_number: 27630 | start: 00:09:09 | end: 00:09:12 | type: medium | goal: False | goal_mouth: False | audio: False 
frame_number: 27665 | start: 00:09:12 | end: 00:09:13 | type: logo | goal: False | goal_mouth: False | audio: False 
frame_number: 28520 | start: 00:09:13 | end: 00:09:30 | type: wide | goal: False | goal_mouth: True | audio: False 
frame_number: 28560 | start: 00:09:30 | end: 00:09:31 | type: logo | goal: False | goal_mouth: False | audio: False 
frame_number: 28755 | start: 571.4 | end: 575.2 | type: close | goal: False | goal_mouth: False | audio: False 
frame_number: 29110 | start: 575.3 | end: 582.3 | type: wide | goal: False | goal_mouth: False | audio: False 
frame_number: 29570 | start: 582.4 | end: 591.5 | type: wide | goal: False | goal_mouth: False | audio: False 
frame_number: 29940 | start: 591.6 | end: 598.9 | type: close | goal: False | goal_mouth: False | audio: False 
frame_number: 33685 | start: 599.0 | end: 673.8 | type: wide | goal: False | goal_mouth: True | audio: False 
frame_number: 34245 | start: 673.9 | end: 685.0 | type: close-out | goal: False | goal_mouth: False | audio: False 
frame_number: 35505 | start: 685.1 | end: 710.2 | type: wide | goal: False | goal_mouth: False | audio: False 
frame_number: 35525 | start: 710.3 | end: 710.6 | type: wide | goal: False | goal_mouth: False | audio: False 
frame_number: 35545 | start: 710.7 | end: 711.0 | type: wide | goal: False | goal_mouth: False | audio: False 
frame_number: 35565 | start: 711.1 | end: 711.4 | type: wide | goal: True | goal_mouth: False | audio: False 
frame_number: 35585 | start: 711.5 | end: 711.8 | type: medium | goal: False | goal_mouth: True | audio: False 
frame_number: 35605 | start: 711.9 | end: 712.2 | type: medium | goal: False | goal_mouth: True | audio: False 
frame_number: 35625 | start: 712.3 | end: 712.6 | type: close-out | goal: False | goal_mouth: False | audio: False 
frame_number: 35645 | start: 712.7 | end: 713.0 | type: close-out | goal: False | goal_mouth: False | audio: False 
frame_number: 35695 | start: 713.1 | end: 714.0 | type: wide | goal: False | goal_mouth: True | audio: False 

no. of shots come from audio: 2 

[frame_number: 16060 | start: 00:03:50 | end: 00:05:21 | type: wide | goal: False | goal_mouth: False | audio: True 
, frame_number: 20580 | start: 00:06:47 | end: 00:06:51 | type: medium | goal: False | goal_mouth: False | audio: True 
]

Important Events: 32

[frame_number: 8850 | start: 00:02:24 | end: 00:02:57 | type: wide | goal: False | goal_mouth: False | audio: False 
, frame_number: 9015 | start: 00:02:57 | end: 00:03:00 | type: medium | goal: False | goal_mouth: False | audio: False 
, frame_number: 9070 | start: 00:03:00 | end: 00:03:01 | type: medium | goal: False | goal_mouth: False | audio: False 
, frame_number: 9110 | start: 00:03:01 | end: 00:03:02 | type: logo | goal: False | goal_mouth: False | audio: False 
, frame_number: 9580 | start: 00:03:02 | end: 00:03:11 | type: medium | goal: False | goal_mouth: False | audio: False 
, frame_number: 9920 | start: 00:03:11 | end: 00:03:18 | type: medium | goal: False | goal_mouth: False | audio: False 
, frame_number: 9960 | start: 00:03:18 | end: 00:03:19 | type: logo | goal: False | goal_mouth: False | audio: False 
, frame_number: 16060 | start: 00:03:50 | end: 00:05:21 | type: wide | goal: False | goal_mouth: False | audio: True 
, frame_number: 17935 | start: 00:05:30 | end: 00:05:58 | type: wide | goal: False | goal_mouth: True | audio: True 
, frame_number: 18100 | start: 00:05:58 | end: 00:06:02 | type: medium | goal: False | goal_mouth: False | audio: False 
, frame_number: 18145 | start: 00:06:02 | end: 00:06:03 | type: logo | goal: False | goal_mouth: False | audio: False 
, frame_number: 18535 | start: 00:06:03 | end: 00:06:10 | type: wide | goal: False | goal_mouth: True | audio: False 
