Video Shots: 160

frame_number: 19845 | start: 396.7 | end: 397.0 | type: close | goal: False | goal_mouth: False | audio: False 
frame_number: 19865 | start: 397.1 | end: 397.4 | type: close | goal: False | goal_mouth: False | audio: False 
frame_number: 19930 | start: 397.5 | end: 398.7 | type: close | goal: False | goal_mouth: False | audio: False 
frame_number: 19995 | start: 398.8 | end: 400.0 | type: close | goal: False | goal_mouth: False | audio: False 
frame_number: 20445 | start: 400.1 | end: 409.0 | type: medium | goal: False | goal_mouth: False | audio: False 
frame_number: 20810 | start: 409.1 | end: 416.3 | type: medium | goal: False | goal_mouth: False | audio: False 
frame_number: 22800 | start: 416.4 | end: 456.1 | type: wide | goal: False | goal_mouth: True | audio: False 
frame_number: 22990 | start: 456.2 | end: 459.9 | type: wide | goal: False | goal_mouth: False | audio: False 
frame_number: 23480 | start: 00:07:40 | end: 00:07:49 | type: wide | goal: False | goal_mouth: True | audio: False 
frame_number: 43505 | start: 00:07:49 | end: 00:07:50 | type: logo | goal: False | goal_mouth: False | audio: False 
frame_number: 43625 | start: 00:07:50 | end: 00:07:52 | type: medium | goal: False | goal_mouth: False | audio: False 
frame_number: 24795 | start: 00:07:52 | end: 00:08:16 | type: wide | goal: False | goal_mouth: False | audio: False 
frame_number: 24850 | start: 00:08:16 | end: 00:08:17 | type: medium | goal: False | goal_mouth: False | audio: False 
frame_number: 25480 | start: 00:08:17 | end: 00:08:29 | type: wide | goal: False | goal_mouth: False | audio: False 
frame_number: 25530 | start: 00:08:29 | end: 00:08:30 | type: medium | goal: False | goal_mouth: False | audio: False 
frame_number: 26410 | start: 00:08:30 | end: 00:08:48 | type: wide | goal: False | goal_mouth: True | audio: False 
frame_number: 26710 | start: 00:08:48 | end: 00:08:54 | type: close | goal: False | goal_mouth: False | audio: False 
frame_number: 27150 | start: 00:08:54 | end: 00:09:03 | type: medium | goal: False | goal_mouth: False | audio: False 
frame_number: 27595 | start: 00:09:03 | end: 00:09:12 | type: close | goal: False | goal_mouth: False | audio: False 
frame_number: 28445 | start: 00:09:12 | end: 00:09:29 | type: close | goal: False | goal_mouth: False | audio: False 
frame_number: 28590 | start: 00:09:29 | end: 00:09:31 | type: close-out | goal: False | goal_mouth: False | audio: False 
frame_number: 29105 | start: 00:09:32 | end: 00:09:42 | type: medium | goal: False | goal_mouth: False | audio: False 
frame_number: 29720 | start: 00:09:42 | end: 00:09:54 | type: close-out | goal: False | goal_mouth: False | audio: False 
frame_number: 30295 | start: 00:09:54 | end: 00:10:06 | type: medium | goal: False | goal_mouth: False | audio: False 
frame_number: 30695 | start: 00:10:06 | end: 00:10:14 | type: close-out | goal: False | goal_mouth: False | audio: False 
frame_number: 31525 | start: 00:10:14 | end: 00:10:30 | type: medium | goal: False | goal_mouth: False | audio: False 
frame_number: 31695 | start: 00:10:30 | end: 00:10:34 | type: close-out | goal: False | goal_mouth: False | audio: False 
frame_number: 32150 | start: 00:10:34 | end: 00:10:43 | type: wide | goal: False | goal_mouth: True | audio: False 
frame_number: 32340 | start: 00:10:43 | end: 00:10:46 | type: medium | goal: False | goal_mouth: False | audio: False 
frame_number: 32600 | start: 00:10:47 | end: 00:10:52 | type: wide | goal: False | goal_mouth: False | audio: False 
frame_number: 32740 | start: 00:10:52 | end: 00:10:54 | type: medium | goal: False | goal_mouth: False | audio: False 
frame_number: 33145 | start: 00:10:55 | end: 00:11:03 | type: wide | goal: False | goal_mouth: False | audio: False 
frame_number: 33250 | start: 00:11:03 | end: 00:11:05 | type: medium | goal: False | goal_mouth: False | audio: False 
frame_number: 33885 | start: 00:11:05 | end: 00:11:17 | type: wide | goal: False | goal_mouth: False | audio: False 
frame_number: 33995 | start: 00:11:17 | end: 00:11:20 | type: medium | goal: False | goal_mouth: True | audio: False 
frame_number: 34560 | start: 00:11:20 | end: 00:11:31 | type: wide | goal: False | goal_mouth: True | audio: False 
frame_number: 34640 | start: 00:11:31 | end: 00:11:32 | type: medium | goal: False | goal_mouth: False | audio: False 
frame_number: 35725 | start: 00:11:33 | end: 00:11:54 | type: wide | goal: False | goal_mouth: False | audio: False 
frame_number: 35865 | start: 00:11:54 | end: 00:11:57 | type: medium | goal: False | goal_mouth: False | audio: False 
frame_number: 36665 | start: 00:11:57 | end: 00:12:13 | type: wide | goal: False | goal_mouth: True | audio: False 
frame_number: 36750 | start: 00:12:13 | end: 00:12:15 | type: close-out | goal: False | goal_mouth: False | audio: False 
frame_number: 36785 | start: 00:12:15 | end: 00:12:15 | type: close-out | goal: False | goal_mouth: False | audio: False 
frame_number: 36810 | start: 00:12:15 | end: 00:12:16 | type: close | goal: False | goal_mouth: False | audio: False 
frame_number: 36840 | start: 00:12:16 | end: 00:12:16 | type: close-out | goal: False | goal_mouth: False | audio: False 
frame_number: 36860 | start: 00:12:17 | end: 00:12:17 | type: close | goal: False | goal_mouth: False | audio: False 
frame_number: 36880 | start: 00:12:17 | end: 00:12:17 | type: close-out | goal: False | goal_mouth: False | audio: False 
frame_number: 36905 | start: 00:12:17 | end: 00:12:18 | type: close-out | goal: False | goal_mouth: False | audio: False 
frame_number: 36925 | start: 00:12:18 | end: 00:12:18 | type: close-out | goal: False | goal_mouth: False | audio: False 
frame_number: 36945 | start: 00:12:18 | end: 00:12:19 | type: close-out | goal: False | goal_mouth: False | audio: False 
frame_number: 36965 | start: 00:12:19 | end: 00:12:19 | type: close-out | goal: False | goal_mouth: False | audio: False 
frame_number: 37110 | start: 00:12:19 | end: 00:12:22 | type: close | goal: False | goal_mouth: False | audio: False 
frame_number: 37135 | start: 00:12:22 | end: 00:12:22 | type: close | goal: False | goal_mouth: False | audio: False 
frame_number: 37500 | start: 00:12:22 | end: 00:12:30 | type: medium | goal: False | goal_mouth: False | audio: False 
frame_number: 37645 | start: 00:12:30 | end: 00:12:33 | type: close | goal: False | goal_mouth: False | audio: True 
frame_number: 37695 | start: 00:12:33 | end: 00:12:34 | type: medium | goal: False | goal_mouth: False | audio: True 
